causeCode,causeName,causeNameShort,causeList,topLevCode,topLevName
C01,Hypertensive heart disease,Hypertensive heart disease,...C.01. - Hypertensive heart disease,C,Cardiovascular
C02,Ischemic heart disease,Ischemic heart disease,...C.02. - Ischemic heart disease,C,Cardiovascular
C03,Stroke,Stroke,...C.03. - Stroke,C,Cardiovascular
C04,"Cardiomyopathy, myocarditis, endocarditis","Cardiomyopathy, myo., endo.","...C.04. - Cardiomyopathy, myocarditis, endocarditis",C,Cardiovascular
C05,Congestive heart failure,Congestive heart failure,...C.05. -  Congestive heart failure,C,Cardiovascular
C99,Other or unspecified cardiovascular diseases,Other cardiovascular,...C.99. - Other or unspecified cardiovascular diseases,C,Cardiovascular
D,Other Chronic,Other Chronic,..D. - Other Chronic,D,Other Chronic
D01,Diabetes mellitus,Diabetes mellitus,...D.01. - Diabetes mellitus,D,Other Chronic
D02,"Endocrine, blood, immune disorders","Endocrine, blood, immune disorders","...D.02. - Endocrine, blood, immune disorders",D,Other Chronic
D03,Sickle cell disorders and trait,Sickle cell disorders and trait,...D.03. - Sickle cell disorders and trait,D,Other Chronic
D04,Mental Health disorders,Mental Health disorders,...D.04. - Mental Health disorders,D,Other Chronic
D06,Alzheimer’s disease and other dementias,Alzheimer’s disease,...D.06. - Alzheimer’s disease and other dementias,D,Other Chronic
D07,Other neurological conditions,Other neurological conditions,...D.07. - Other neurological conditions,D,Other Chronic
D09,Digestive diseases (excluding cirrhosis),Other Digestive diseases,...D.09. - Digestive diseases (excluding cirrhosis),D,Other Chronic
D10,Kidney diseases,Kidney diseases,...D.10. - Kidney diseases,D,Other Chronic
D10a,Acute glomerulonephritis,Acute glomerulonephritis,....D.10.a. - Acute glomerulonephritis,D,Other Chronic
D10b,Chronic kidney disease due to diabetes,Chronic kidney disease due to diabetes,....D.10.b. - Chronic kidney disease due to diabetes,D,Other Chronic
D10c,Other chronic kidney disease,Other chronic kidney disease,....D.10.c. - Other chronic kidney disease,D,Other Chronic
D11,Liver cirrhosis (non-alcohol),Liver cirrhosis (non-alcohol),...D.11. - Liver cirrhosis (non-alcohol),D,Other Chronic
D12,Congenital anomalies,Congenital anomalies,...D.12. - Congenital anomalies,D,Other Chronic
D66,Chronic obstructive pulmonary disease,COPD,...D.66. - Chronic obstructive pulmonary disease,D,Other Chronic
D67,Asthma,Asthma,...D.67. - Asthma,D,Other Chronic
D68,Other respiratory diseases,Other respiratory diseases,...D.68. - Other respiratory diseases,D,Other Chronic
D99,Other Chronic Conditions,Other Chronic Conditions,...D.99. - Other Chronic Conditions,D,Other Chronic
E,Injuries,Injuries,..E. - Injuries,E,Injury
E01,Road injury,Road injury,...E.01. - Road injury,E,Injury
E02,Drug overdose (poisoning/substance use disorders),Drug overdose,...E.02. - Drug overdose (poisoning/substance use disorders),E,Injury
E03,Alcohol-related conditions,Alcohol-related,...E.03. - Alcohol-related conditions,E,Injury
E03a,Alcoholic liver disease,Alcoholic liver disease,....E.03.a. - Alcoholic liver disease,E,Injury
E03b,Other alcohol-related,Other alcohol-related,....E.03.b. - Other alcohol-related,E,Injury
E04,Poisonings (non-drug),Poisonings (non-drug),...E.04. - Poisonings (non-drug),E,Injury
E05,Falls,Falls,...E.05. - Falls,E,Injury
E06,Other unintentional injuries,Other unintentional injuries,...E.06. - Other unintentional injuries,E,Injury
E07,Suicide/Self-harm,Suicide/Self-harm,...E.07. - Suicide/Self-harm,E,Injury
E08,Homicide/Interpersonal violence,Homicide,...E.08. - Homicide/Interpersonal violence,E,Injury
E08a,Homicide excluding legal intervention,Homicide excluding legal intervention,....E.08.a. - Homicide excluding legal intervention,E,Injury
E08b,Legal intervention,Legal intervention,....E.08.b. - Legal intervention,E,Injury
E08c,"Execution, War, Terrorism","Execution, War, Terrorism","....E.08.c. - Execution, War, Terrorism",E,Injury
E99,"Injuries of unknown intent (e.g., unintentional or self-harm), including overdoses and deaths by firearm",Injuries of unknown intent,"...E.99. - Injuries of unknown intent (e.g., unintentional or self-harm), including overdoses and deaths by firearm",E,Injury
Z,Unknown/Missing Value,Unknown/Missing Value,..Z. - Unknown/Missing Value,Z,Ill-Defined
Z01,"Symptoms, signs and ill-defined conditions, not elsewhere classified",ill-defined,"...Z.01. - Symptoms, signs and ill-defined conditions, not elsewhere classified",Z,Ill-Defined
Z02,Unknown/Missing Value,Unknown/Missing Value,...Z.02. - Unknown/Missing Value,Z,Ill-Defined
Z03,Code does not map,Code does not map,...Z.03. - Code does not map,Z,Ill-Defined
